date,Open,High,Low,Close,Volume
2021-03-31,130.78,131.99,129.62,129.73,16736681.0
2021-04-01,129.4,131.29,129.05,131.21,16561508.0
2021-04-05,132.8,133.34,131.0,132.02,13507979.0
2021-04-06,131.19,132.68,130.26,130.94,13071554.0
2021-04-07,131.5,133.63,131.05,133.33,16903523.0
2021-04-08,132.4,133.91,130.71,133.52,12335512.0
2021-04-09,134.21,135.44,133.37,134.68,12122400.0
2021-04-12,133.98,135.65,133.97,134.35,12273355.0
2021-04-13,133.15,133.6,130.83,132.49,16113557.0
2021-04-14,129.87,132.23,129.33,129.61,19939592.0
2021-04-15,129.65,130.6,127.72,130.57,17694125.0
2021-04-16,132.27,132.91,131.09,131.7,13773412.0
2021-04-19,131.82,132.28,130.62,131.05,11900220.0
2021-04-20,130.14,130.15,127.05,127.67,13716678.0
2021-04-21,126.19,129.01,125.19,128.94,12236674.0
2021-04-22,128.63,128.7,125.66,125.77,15256117.0
2021-04-23,125.58,129.53,125.09,128.59,14043086.0
2021-04-26,129.18,130.86,128.78,128.96,10799065.0
2021-04-27,128.9,129.97,128.51,129.65,12821182.0
2021-04-28,130.83,131.29,129.8,130.63,8943653.0
2021-04-29,131.94,133.68,131.6,133.59,12976866.0
2021-04-30,132.5,132.89,131.41,132.21,11705065.0
2021-05-03,133.25,133.88,131.53,131.76,11801108.0
2021-05-04,131.27,134.04,130.54,133.88,12977673.0
2021-05-05,134.4,136.68,134.4,135.92,6812018.0
2021-05-06,136.47,139.22,135.56,139.09,13542406.0
2021-05-07,135.62,139.9,135.42,139.64,14257828.0
2021-05-10,139.9,142.13,139.52,139.62,14014332.0
2021-05-11,139.48,140.79,136.44,136.94,15451666.0
2021-05-12,138.01,139.18,135.43,135.85,14381733.0
2021-05-13,136.58,140.84,136.08,139.9,15397363.0
2021-05-14,140.79,142.85,140.39,142.41,10583975.0
2021-05-17,141.77,143.25,141.43,143.07,9886843.0
2021-05-18,143.08,143.9,140.64,140.75,11098117.0
2021-05-19,139.4,139.58,137.04,139.51,13278895.0
2021-05-20,139.23,140.26,137.92,139.23,10426014.0
2021-05-21,139.74,141.62,139.34,141.06,10248994.0
2021-05-24,141.76,142.63,140.52,141.94,9440290.0
2021-05-25,142.25,144.1,139.96,140.25,12609084.0
2021-05-26,141.97,142.14,139.71,140.23,13058340.0
2021-05-27,142.35,143.15,140.97,142.75,15707512.0
2021-05-28,143.08,143.34,141.66,142.64,10294700.0
2021-06-01,144.27,145.31,143.88,144.45,9445366.0
2021-06-02,145.66,145.84,143.93,144.46,10498568.0
2021-06-03,143.81,145.65,143.06,144.57,13354653.0
2021-06-04,144.61,145.07,143.43,144.84,8510831.0
2021-06-07,145.4,145.5,143.54,144.06,7267196.0
2021-06-08,142.89,144.16,141.56,143.4,10370719.0
2021-06-09,142.54,142.62,140.68,141.34,12377367.0
2021-06-10,142.76,143.64,138.71,138.8,12119419.0
2021-06-11,138.83,139.6,137.46,138.69,13683774.0
2021-06-14,138.55,138.73,135.06,135.97,19917855.0
2021-06-15,135.1,135.32,132.53,133.58,24485479.0
2021-06-16,133.13,136.02,131.51,134.67,25321233.0
2021-06-17,135.5,135.86,129.65,130.16,29722421.0
2021-06-18,127.7,128.1,125.96,126.32,43595659.0
2021-06-21,127.48,129.6,127.42,128.83,18664796.0
2021-06-22,129.0,129.37,127.06,128.61,14251160.0
2021-06-23,128.6,130.44,128.49,129.52,12733326.0
2021-06-24,130.32,131.52,129.62,130.91,13733186.0
2021-06-25,130.99,132.9,130.07,132.45,15484922.0
2021-06-28,132.1,132.88,130.52,132.73,14125837.0
2021-06-29,133.4,134.71,132.01,132.54,14528708.0
2021-06-30,132.15,134.48,132.11,133.94,12530993.0
2021-07-01,134.66,135.54,133.81,135.48,10479389.0
2021-07-02,135.25,135.62,134.42,135.33,11431349.0
2021-07-06,135.08,135.08,131.65,132.71,15083360.0
2021-07-07,131.31,133.58,130.85,132.89,12271789.0
2021-07-08,130.91,131.83,129.34,130.24,17834574.0
2021-07-09,132.35,135.45,131.88,135.07,13694523.0
2021-07-12,133.65,138.46,133.24,137.3,19940363.0
2021-07-13,135.35,136.69,132.8,134.95,22671744.0
2021-07-14,135.25,136.58,132.25,134.42,14622833.0
2021-07-15,133.2,135.83,133.0,134.76,11539263.0
2021-07-16,135.26,135.58,130.32,131.21,14002741.0
2021-07-19,127.85,129.12,125.01,126.27,22172865.0
2021-07-20,125.82,130.42,125.63,129.01,15385158.0
2021-07-21,131.35,132.95,130.66,132.16,12356686.0
2021-07-22,132.18,132.74,129.27,130.23,9913322.0
2021-07-23,130.78,132.14,129.55,129.94,9666101.0
2021-07-26,129.49,131.26,129.47,130.95,8207990.0
2021-07-27,129.7,131.79,129.1,130.75,11218727.0
2021-07-28,131.59,132.07,130.18,131.0,9217294.0
2021-07-29,132.44,133.17,131.21,132.3,9063531.0
2021-07-30,131.88,132.97,130.5,131.08,9805241.0
2021-08-02,131.33,133.75,130.37,130.47,10203157.0
2021-08-03,131.25,132.62,128.82,132.19,10394804.0
2021-08-04,130.55,132.67,130.21,130.54,10154973.0
2021-08-05,131.58,132.99,131.31,132.45,9151499.0
2021-08-06,134.49,137.12,134.41,136.8,13328750.0
2021-08-09,136.82,137.85,135.2,136.63,9516867.0
2021-08-10,136.04,139.27,135.61,138.56,8666998.0
2021-08-11,139.3,140.8,138.38,140.46,9156458.0
2021-08-12,141.18,141.67,139.85,141.09,8849610.0
2021-08-13,141.09,141.46,138.87,139.28,8980903.0
2021-08-16,138.24,138.33,136.08,138.23,8759767.0
2021-08-17,136.87,138.16,134.57,136.31,9347213.0
2021-08-18,135.61,137.31,134.64,134.88,8065493.0
2021-08-19,132.46,134.86,132.31,133.58,9517737.0
2021-08-20,133.65,134.2,132.46,134.02,6974102.0
2021-08-23,134.63,136.39,134.54,136.0,7934587.0
2021-08-24,136.3,137.85,136.17,136.97,7670925.0
2021-08-25,137.81,141.08,137.1,140.22,11335040.0
2021-08-26,141.56,143.13,140.45,141.05,11027451.0
2021-08-27,141.05,142.46,140.56,142.35,8780185.0
2021-08-30,142.51,142.79,139.18,139.74,7937561.0
2021-08-31,139.74,140.67,138.65,139.25,12340838.0
2021-09-01,139.52,140.06,138.27,139.02,8729920.0
2021-09-02,139.32,140.91,138.73,139.76,8815634.0
2021-09-03,139.69,140.19,138.45,138.79,7961223.0
2021-09-07,139.29,140.68,138.26,138.51,9290968.0
2021-09-08,138.19,138.88,137.34,137.8,7852678.0
2021-09-09,137.57,140.13,137.38,138.49,7904256.0
